samp1,samp2,discord
dXeno 1 BM,dXeno 1 CNS,0
dXeno 2 BM,dXeno 2 CNS,0
dXeno 2 BM,dXeno 2 Spleen,0
dXeno 3 BM,dXeno 3 CNS,0
dXeno 3 BM,dXeno 3 Spleen,0
dXeno 4 BM,dXeno 4 CNS,0
dXeno 4 BM,dXeno 4 Spleen,0
dXeno 5 BM,dXeno 5 CNS,0
dXeno 5 BM,dXeno 5 Spleen,0
dXeno 6 BM,dXeno 6 CNS,0
dXeno 6 BM,dXeno 6 Spleen,0
dXeno 7 BM,dXeno 7 CNS,0
dXeno 7 BM,dXeno 7 Spleen,0
dXeno 8 BM,dXeno 8 CNS,0
dXeno 8 BM,dXeno 8 Spleen,0
dXeno 9 BM,dXeno 9 CNS,0
dXeno 9 BM,dXeno 9 Spleen,0
dXeno 10 BM,dXeno 10 CNS,0
dXeno 10 BM,dXeno 10 Spleen,0
dXeno 11 BM,dXeno 11 Spleen,0
dXeno 13 BM,dXeno 13 CNS,0
dXeno 13 BM,dXeno 13 Spleen,0
dXeno 16 BM,dXeno 16 Spleen,0
dXeno 17 BM,dXeno 17 CNS,0
dXeno 17 BM,dXeno 17 Spleen,0
dXeno 31 BM,dXeno 31 CNS,0
dXeno 31 BM,dXeno 31 Spleen,0
dXeno 32 BM,dXeno 32 CNS,0
dXeno 32 BM,dXeno 32 Spleen,0
rXeno 1 BM,rXeno 1 CNS,1
rXeno 2 BM,rXeno 2 CNS,1
rXeno 3 BM,rXeno 3 CNS,1
rXeno 4 BM,rXeno 4 CNS,1
rXeno 5 BM,rXeno 5 CNS,1
rXeno 7 BM,rXeno 7 CNS,1
rXeno 8 BM,rXeno 8 CNS,1
rXeno 9 BM,rXeno 9 CNS,0
rXeno 10 BM,rXeno 10 CNS,1
rXeno 11 BM,rXeno 11 CNS,1
rXeno 12 BM,rXeno 12 CNS,0
